terremoto	scossa	bn:00029448n	bn:00029441n	sisma,terremoto,scossa tellurica	scossa,microsisma,microsismo
cifra	numero	bn:00058287n	bn:00058287n	cifra,numerale,numero	cifra,numero,numerale
burrasca	coperta	bn:00009425n	bn:00052848n	scala di beaufort,grado beaufort,scala beaufort	coperta,ponte principale,ponte di coperta
obama	clinton	bn:03330021n	bn:00010400n	barack obama,barack hussein obama,barack hussein obama ii	bill clinton,clinton,william jefferson "bill" clinton
personaggio secondario	film	bn:00017746n	bn:03715325n	figura,personaggio,personaggio immaginario	film,show-in-a-show
juventus	bayern monaco	bn:00876765n	bn:00963795n	juventus football club,bianconeri,f.c. juventus	fußball-club bayern münchen,bayern monaco,bayern munich
cambiamento climatico	precipitazione	bn:00019782n	bn:00028483n	cambiamento climatico,cambiamenti climatici,cambiamento climatico brusco	precipitazione,precipitazione (meteorologia),precipitazione atmosferica
ia	batteria	bn:03714194n	bn:00049242n	íþróttabandalag akraness,ia akranes,ía	kit,set,armamentario
capolavoro	gioconda	bn:00018059n	bn:03571983n	capolavoro,opera d'arte	gioconda,'' la gioconda '',la gioconda
crimine	aggressione	bn:00023807n	bn:00006467n	crimine,delitto,misfatto	aggressione,aggressione a mano armata,aggressione criminale
incoronazione	acqua	bn:03161106n	bn:00080561n	pala degli oddi,incoronazione,pala oddi	acqua,acqua (elemento),acqua (elemento classico)
vocalista	pentagramma	None	None	None	None
spareggio	pallacanestro	bn:03528898n	bn:00008889n	spareggio,spareggi,partita di playoff	basket,basketball,cestismo
forze armate	difesa	bn:00005732n	bn:15622439n	esercito,forze armate,forza armata	difesa (politica),difesa,difesa nazionale
lago	nuvola	bn:00049709n	bn:00020002n	lago,bacino lacustre,specchio d'acqua	nube,nuvola,nembo
monastero	doccia	bn:00022329n	bn:00071325n	convento,monastero,comunità conventuale	doccia
lingua madre	lingua	bn:00056969n	bn:00049911n	madrelingua,lingua madre	lingua,linguaggio,parlare
porto	incarto	bn:00022381n	bn:00060120n	traslazione,trasporto,porto	imballaggio,imballo,borra (munizioni)
